"Project","Rank","Method","Count","Tests"
"Project","MethodIndex","Method","Count","Tests"
"spark","1","spark.embeddedserver.jetty.EmbeddedJettyFactory.create(Routes,StaticFilesConfiguration,boolean)","21","spark.staticfiles.StaticFilesTest.testStaticFileCssStyleCss [],spark.MultipleServicesTest.testGetUniqueForSecondWithFirst [],spark.GenericIntegrationTest.testHiHead [],spark.GenericIntegrationTest.testEchoParamWithMaj [],spark.staticfiles.DisableMimeGuessingTest.testCustomMimeType [],spark.GenericIntegrationTest.testParamAndWild [],spark.MultipleServicesTest.testGetUniqueForSecondWithSecond [],spark.GenericIntegrationTest.testGetInputStreamHi [],spark.GenericIntegrationTest.paths_should_be_very_nestable [],spark.customerrorpages.CustomErrorPagesTest.testCustomInternal [],spark.RedirectTest.testRedirectAnyDelete [],spark.GenericSecureIntegrationTest.testEchoParam2 [],spark.MultipleServicesTest.testGetHello [],spark.RedirectTest.testRedirectPostWithSpecificCode [],spark.GenericIntegrationTest.testUnauthorized [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithSecond [],spark.GenericIntegrationTest.testExceptionMapper [],spark.MultipleServicesTest.testGetRedirectedHi [],spark.GenericIntegrationTest.testPatch [],spark.GenericSecureIntegrationTest.testXForwardedFor [],spark.GenericSecureIntegrationTest.testGetHiAfterFilter []"
"spark","2","spark.embeddedserver.jetty.SocketConnectorFactory.createHttpConnectionFactory()","6","spark.BooksIntegrationTest.canGetUpdatedBook [],spark.MultipleServicesTest.testGetUniqueForSecondWithFirst [],spark.RedirectTest.testRedirectAnyGet [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithSecond [],spark.MultipleServicesTest.testGetRedirectedHi [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithFirst []"
"spark","3","spark.http.matching.MatcherFilter.doFilter(ServletRequest,ServletResponse,FilterChain)","5","spark.BooksIntegrationTest.canGetUpdatedBook [],spark.ResponseBodyTest.testSPECIAL [],spark.GenericIntegrationTest.testExceptionMapper [],spark.GenericIntegrationTest.testRuntimeExceptionForDone [],spark.GenericIntegrationTest.testPatch []"
"spark","4","spark.embeddedserver.jetty.websocket.WebSocketServletContextHandlerFactory.create(Map<String,WebSocketHandlerWrapper>,Optional<Integer>)","4","spark.GenericIntegrationTest.testEchoParam1 [],spark.GenericIntegrationTest.testEchoParam2 [],spark.GenericIntegrationTest.testPostProcessBodyForFinally [],spark.GenericIntegrationTest.testWebSocketConversation []"
"spark","5","spark.staticfiles.StaticFilesFolder.localConfiguredTo(String)","3","spark.GenericIntegrationTest.testPost [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithFirst [],spark.StaticFilesMemberTest.testExceptionMapping404 []"
"spark","6","spark.embeddedserver.jetty.JettyHandler.doHandle(String,Request,HttpServletRequest,HttpServletResponse)","3","spark.GenericSecureIntegrationTest.testPatch [],spark.customerrorpages.CustomErrorPagesTest.testCustomInternal [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithFirst []"
"spark","7","spark.staticfiles.StaticFilesConfiguration.configureExternal(String)","2","spark.staticfiles.StaticFilesTest.testExternalStaticFile [],spark.GenericIntegrationTest.testInheritanceExceptionMapper []"
"spark","8","spark.embeddedserver.jetty.JettyServer.create(int,int,int)","2","spark.RedirectTest.testRedirectAnyGetWithSpecificCode [],spark.customerrorpages.CustomErrorPagesTest.testCustomNotFound []"
"spark","9","spark.embeddedserver.jetty.SocketConnectorFactory.createSocketConnector(Server,String,int)","2","spark.RedirectTest.testRedirectPostWithSpecificCode [],spark.GenericIntegrationTest.testParamAndWild []"
"spark","10","spark.Service.stop()","1","spark.GenericIntegrationTest.testGetHi []"
"spark","11","spark.staticfiles.StaticFilesConfiguration.configure(String)","1","spark.MultipleServicesTest.testStaticFileCssStyleCssWithSecond []"
"spark","12","spark.Service.getPaths()","1","spark.GenericSecureIntegrationTest.testEchoParam1 []"
"spark","13","spark.utils.ResourceUtils.getFile(URL,String)","1","spark.servlet.ServletTest.testPost []"
"spark","14","spark.route.Routes.add(HttpMethod,String,String,Object)","1","spark.ResponseBodyTest.testHELLO []"
"spark","15","spark.staticfiles.StaticFilesFolder.externalConfiguredTo(String)","1","spark.GenericIntegrationTest.testStaticFile []"
"spark","16","spark.resource.ClassPathResourceHandler.getResource(String)","1","spark.GzipTest.testStaticFileCssStyleCss []"
"spark","17","spark.serialization.BytesSerializer.canProcess(Object)","1","spark.GenericIntegrationTest.testPostViaGetWithMethodOverrideHeader []"
"spark","18","spark.Routable.get(String,Route)","1","spark.customerrorpages.CustomErrorPagesTest.testCustomInternal []"
