"Project","Rank","Method","Count","Tests"
"spark","1","spark.embeddedserver.jetty.EmbeddedJettyServer.ignite(String,int,SslStores,int,int,int)","66","spark.RedirectTest.testRedirectAnyPut [],spark.MultipleServicesTest.testGetUniqueForSecondWithSecond [],spark.RequestTest.testContextPath [],spark.GenericSecureIntegrationTest.testUnauthorized [],spark.RequestTest.testServletPath [],spark.RequestTest.testCookies_whenCookiesAreNotPresent [],spark.StaticFilesMemberTest.testStaticFileMjs [],spark.RequestTest.testUserAgent [],spark.RequestTest.testSessionNoParams_whenSessionIsNull [],spark.staticfiles.StaticFilesTest.testExternalStaticFile [],spark.GenericSecureIntegrationTest.testPost [],spark.GenericIntegrationTest.testHiHead [],spark.GenericIntegrationTest.testSessionReset [],spark.BooksIntegrationTest.canListBooks [],spark.BodyAvailabilityTest.testPost [],spark.GenericIntegrationTest.testRuntimeExceptionForDone [],spark.StaticFilesMemberTest.testStaticFileExpireTime [],spark.customerrorpages.CustomErrorPagesTest.testCustomInternal [],spark.customerrorpages.CustomErrorPagesTest.testCustomInternalFailingRoute [],spark.RequestTest.testCookie_whenCookiesAreNotPresent [],spark.BooksIntegrationTest.canGetUpdatedBook [],spark.embeddedserver.jetty.EmbeddedJettyFactoryTest.create_withThreadPool [],spark.GenericIntegrationTest.testEchoParam2 [],spark.InitExceptionHandlerTest.testInitExceptionHandler [],spark.GenericIntegrationTest.testStaticFile [],spark.GenericIntegrationTest.testTwoRoutesWithDifferentCaseButSameName [],spark.GenericIntegrationTest.testPathParamsWithPlusSign [],spark.MultipleServicesTest.testGetUniqueForSecondWithFirst [],spark.GenericIntegrationTest.template_view_should_be_rendered_with_given_model_view_object [],spark.GenericIntegrationTest.testParamAndWild [],spark.customerrorpages.CustomErrorPagesTest.testCustomNotFound [],spark.ResponseWrapperDelegationTest.filters_can_detect_content_type [],spark.ServicePortIntegrationTest.testGetPort_withRandomPort [],spark.GenericIntegrationTest.testSplatWithEncodedSlash [],spark.GenericIntegrationTest.testInheritanceExceptionMapper [],spark.RedirectTest.testRedirectPutWithSpecificCode [],spark.GenericIntegrationTest.testPost [],spark.GenericIntegrationTest.testXForwardedFor [],spark.RequestTest.queryParamOrDefault_shouldReturnDefault_whenQueryParamIsNull [],spark.GenericIntegrationTest.testExceptionMapper [],spark.GenericSecureIntegrationTest.testPatch [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithFirst [],spark.GenericSecureIntegrationTest.testHiHead [],spark.ResponseBodyTest.testSPECIAL [],spark.staticfiles.StaticFilesTest.testStaticFileCssStyleCss [],spark.embeddedserver.EmbeddedServersTest.testAdd_whenConfigureRoutes_createsCustomServer [],spark.BooksIntegrationTest.canCreateBook [],spark.StaticFilesMemberTest.testExternalStaticFile [],spark.RedirectTest.testRedirectAnyDeleteWithSpecificCode [],spark.GenericIntegrationTest.testExternalStaticFile [],spark.GenericIntegrationTest.paths_should_be_nestable [],spark.GenericIntegrationTest.testWebSocketConversation [],spark.GenericIntegrationTest.testPatch [],spark.RequestTest.testRequestMethod [],spark.GenericSecureIntegrationTest.testGetHiAfterFilter []"
"spark","2","spark.embeddedserver.jetty.EmbeddedJettyFactory.create(Routes,StaticFilesConfiguration,ExceptionMapper,boolean)","28","spark.GenericIntegrationTest.template_view_should_be_rendered_with_given_model_view_object [],spark.GenericIntegrationTest.testGetInputStreamHi [],spark.RequestTest.testSession_whenCreateIsTrue [],spark.ServicePortIntegrationTest.testGetPort_withRandomPort [],spark.RequestTest.testSession_whenCreateIsTrue_afterSessionInvalidate [],spark.RequestTest.testSessionNpParams_afterSessionInvalidate [],spark.CookiesIntegrationTest.testEmptyCookies [],spark.GenericIntegrationTest.testEchoParam1 [],spark.ResponseWrapperDelegationTest.filters_can_detect_response_status [],spark.GzipTest.testStaticFileCssStyleCss [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithSecond [],spark.GenericIntegrationTest.testExceptionMapper [],spark.RequestTest.testPathInfo [],spark.RequestTest.testServletPath [],spark.StaticFilesMemberTest.testStaticFilePagesIndexHtml [],spark.GenericIntegrationTest.testEchoParam3 [],spark.GzipTest.checkGzipCompression [],spark.staticfiles.StaticFilesTest.testStaticFileCssStyleCss [],spark.embeddedserver.EmbeddedServersTest.testAdd_whenConfigureRoutes_createsCustomServer [],spark.GenericIntegrationTest.testGetHiAfterFilter [],spark.staticfiles.DisableMimeGuessingTest.testMimeTypes [],spark.RequestTest.testCookie_whenCookiesArePresent [],spark.RequestTest.testContentLength [],spark.GenericSecureIntegrationTest.testEchoParam2 [],spark.RedirectTest.testRedirectAnyGetWithSpecificCode [],spark.RequestTest.queryParamShouldBeParsedAsHashMap [],spark.InitExceptionHandlerTest.testInitExceptionHandler [],spark.RequestTest.testURI []"
"spark","3","spark.embeddedserver.jetty.SocketConnectorFactory.createHttpConnectionFactory()","25","spark.staticfiles.StaticFilesTest.testStaticFilePagesIndexHtml [],spark.staticfiles.StaticFilesTest.testExceptionMapping404 [],spark.GenericIntegrationTest.testEchoParamWithMaj [],spark.GenericIntegrationTest.filters_should_be_accept_type_aware [],spark.RequestTest.testSession_whenCreateIsTrue [],spark.GenericIntegrationTest.testGetRoot [],spark.RequestTest.shouldBeAbleToGetTheMatchedPath [],spark.RequestTest.testContextPath [],spark.customerrorpages.CustomErrorPagesTest.testCustomInternal [],spark.GenericIntegrationTest.testInheritanceExceptionMapper [],spark.BooksIntegrationTest.wontFindBook [],spark.CookiesIntegrationTest.testEmptyCookies [],spark.customerrorpages.CustomErrorPagesTest.testGetHi [],spark.RedirectTest.testRedirectPostWithSpecificCode [],spark.embeddedserver.jetty.EmbeddedJettyFactoryTest.create_withNullThreadPool [],spark.UnmapTest.testUnmap [],spark.RedirectTest.testRedirectAnyPost [],spark.RedirectTest.testRedirectGet [],spark.MultipleServicesTest.testGetRedirectedHi [],spark.RequestTest.testServletPath [],spark.GenericIntegrationTest.paths_should_be_nestable [],spark.RedirectTest.testRedirectAnyPutWithSpecificCode [],spark.RequestTest.testSession_2times [],spark.GenericSecureIntegrationTest.testGetHiAfterFilter []"
"spark","4","spark.embeddedserver.EmbeddedServers.initialize()","13","spark.staticfiles.DisableMimeGuessingTest.testCustomMimeType [],spark.GenericIntegrationTest.testGetHiAfterFilter [],spark.RequestTest.testCookie_whenCookiesArePresent [],spark.ServicePortIntegrationTest.testGetPort_withRandomPort [],spark.customerrorpages.CustomErrorPagesTest.testCustomInternalFailingRoute [],spark.GenericIntegrationTest.testInheritanceExceptionMapper [],spark.FilterTest.testJustFilter [],spark.RequestTest.testIp [],spark.MultipleServicesTest.testGetAllRoutesFromBothServices [],spark.RedirectTest.testRedirectPostWithSpecificCode [],spark.InitExceptionHandlerTest.testInitExceptionHandler [],spark.ResponseBodyTest.testMAXIME [],spark.RequestTest.testSessionNoParams_whenSessionIsNull []"
"spark","5","spark.embeddedserver.jetty.JettyServer.create(int,int,int)","12","spark.staticfiles.StaticFilesTest.testStaticFilePagesIndexHtml [],spark.staticfiles.StaticFilesTest.testStaticFileCssStyleCss [],spark.embeddedserver.jetty.JettyServerTest.testCreateServer_whenNonDefaultMaxThreadsOnly_thenUseDefaultMinThreadsAndTimeout [],spark.StaticFilesMemberTest.testExternalStaticFile [],spark.GenericIntegrationTest.testGetInputStreamHi [],spark.RequestTest.queryParamShouldBeParsedAsHashMap [],spark.UnmapTest.testUnmap [],spark.RequestTest.testQueryParamsValues_whenParamExists [],spark.RequestTest.testURI [],spark.GenericSecureIntegrationTest.testEchoParamWithMaj [],spark.RequestTest.testSessionNoParams_whenSessionIsNull []"
"spark","6","spark.embeddedserver.jetty.websocket.WebSocketServletContextHandlerFactory.create(Map<String,WebSocketHandlerWrapper>,Optional<Integer>)","12","spark.GenericIntegrationTest.testPostViaGetWithMethodOverrideHeader [],spark.GenericIntegrationTest.testGetByteBufferHi [],spark.GenericIntegrationTest.testExternalStaticFile [],spark.GenericIntegrationTest.template_view_should_be_rendered_with_given_model_view_object [],spark.GenericIntegrationTest.testGetHiAfterFilter [],spark.GenericIntegrationTest.testExceptionMapper [],spark.GenericIntegrationTest.testPostProcessBodyForFinally [],spark.GenericIntegrationTest.testParamWithEncodedSlash [],spark.GenericIntegrationTest.testPatch [],spark.GenericIntegrationTest.testPathParamsWithPlusSign [],spark.GenericIntegrationTest.routes_should_be_accept_type_aware []"
"spark","7","spark.http.matching.Body.serializeTo(HttpServletResponse,SerializerChain,HttpServletRequest)","11","spark.BooksIntegrationTest.canGetUpdatedBook [],spark.MultipleFiltersTest.testMultipleFilters [],spark.RedirectTest.testRedirectAnyGet [],spark.staticfiles.StaticFilesTest.testExceptionMapping404 [],spark.GenericIntegrationTest.testSessionReset [],spark.ServicePortIntegrationTest.testGetPort_withRandomPort [],spark.BooksIntegrationTest.canUpdateBook [],spark.GenericSecureIntegrationTest.testEchoParamWithMaj [],spark.StaticFilesMemberTest.testExceptionMapping404 [],spark.customerrorpages.CustomErrorPagesTest.testCustomInternalFailingRoute []"
"spark","8","spark.embeddedserver.jetty.SocketConnectorFactory.createSocketConnector(Server,String,int)","8","spark.GenericIntegrationTest.path_should_prefix_routes [],spark.staticfiles.StaticFilesTest.testStaticFilePagesIndexHtml [],spark.RequestTest.queryParamShouldBeParsedAsHashMap [],spark.CookiesIntegrationTest.testRemoveCookieWithPath [],spark.RequestTest.testServletPath [],spark.ResponseWrapperDelegationTest.filters_can_detect_content_type [],spark.RequestTest.testCookies_whenCookiesArePresent [],spark.CookiesIntegrationTest.testCreateCookie []"
"spark","9","spark.embeddedserver.jetty.EmbeddedJettyServer.extinguish()","6","spark.GenericIntegrationTest.testExceptionMapper [],spark.StaticFilesMemberTest.testStaticFileHeaders [],spark.GenericIntegrationTest.testGetBinaryHi [],spark.GenericIntegrationTest.testRuntimeExceptionForAllRoutesFinally [],spark.BooksIntegrationTest.wontFindBook [],spark.GenericSecureIntegrationTest.testGetHiAfterFilter []"
"spark","10","spark.staticfiles.StaticFilesConfiguration.consumeWithFileResourceHandlers(HttpServletRequest,HttpServletResponse)","4","spark.staticfiles.StaticFilesTest.testStaticFileCssStyleCss [],spark.StaticFilesMemberTest.testExternalStaticFile [],spark.StaticFilesMemberTest.testStaticFileHeaders [],spark.StaticFilesMemberTest.testStaticFileExpireTime []"
