"Project","Rank","Method","Count","Tests"
"Project","MethodIndex","Method","Count","Tests"
"spark","1","spark.embeddedserver.jetty.EmbeddedJettyFactory.create(Routes,StaticFilesConfiguration,boolean)","23","spark.MultipleServicesTest.testGetUniqueForSecondWithFirst [],spark.staticfiles.DisableMimeGuessingTest.testCustomMimeType [],spark.GenericIntegrationTest.testGetHiAfterFilter [],spark.MultipleServicesTest.testGetUniqueForSecondWithSecond [],spark.BodyAvailabilityTest.testPost [],spark.ServicePortIntegrationTest.testGetPort_withRandomPort [],spark.customerrorpages.CustomErrorPagesTest.testCustomInternal [],spark.GenericSecureIntegrationTest.testEchoParam2 [],spark.staticfiles.StaticFilesTest.testStaticFilePageHtml [],spark.GenericIntegrationTest.testInheritanceExceptionMapper [],spark.BooksIntegrationTest.wontFindBook [],spark.GenericSecureIntegrationTest.testUnauthorized [],spark.StaticFilesMemberTest.testStaticFilePageHtml [],spark.MultipleServicesTest.testGetHello [],spark.GenericIntegrationTest.testXForwardedFor [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithSecond [],spark.RedirectTest.testRedirectAnyPost [],spark.RedirectTest.testRedirectGet [],spark.StaticFilesMemberTest.testStaticFilePagesIndexHtml [],spark.GenericSecureIntegrationTest.testGetHi [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithFirst [],spark.BooksIntegrationTest.canGetBook []"
"spark","2","spark.embeddedserver.jetty.SocketConnectorFactory.createHttpConnectionFactory()","12","spark.GenericIntegrationTest.path_should_prefix_routes [],spark.GenericIntegrationTest.testPost [],spark.MultipleServicesTest.testGetHello [],spark.RedirectTest.testRedirectDelete [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithSecond [],spark.MultipleServicesTest.testGetUniqueForSecondWithSecond [],spark.MultipleServicesTest.testGetRedirectedHi [],spark.embeddedserver.jetty.SocketConnectorFactoryTest.testCreateSocketConnector [],spark.GenericSecureIntegrationTest.testEchoParamWithMaj [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithFirst [],spark.RedirectTest.testRedirectDeleteWithSpecificCode [],spark.GenericIntegrationTest.testNotFound []"
"spark","3","spark.embeddedserver.jetty.SocketConnectorFactory.createSocketConnector(Server,String,int)","6","spark.MultipleServicesTest.testGetUniqueForSecondWithFirst [],spark.GenericIntegrationTest.testParamAndWild [],spark.StaticFilesFromArchiveTest.testCss [],spark.GenericIntegrationTest.testGetHi [],spark.RedirectTest.testRedirectPut [],spark.FilterTest.testJustFilter []"
"spark","4","spark.http.matching.MatcherFilter.doFilter(ServletRequest,ServletResponse,FilterChain)","5","spark.MultipleFiltersTest.testMultipleFilters [],spark.RedirectTest.testRedirectAnyGet [],spark.GenericIntegrationTest.testHiHead [],spark.BooksIntegrationTest.canCreateBook [],spark.RedirectTest.testRedirectAnyDelete []"
"spark","5","spark.embeddedserver.jetty.JettyServer.create(int,int,int)","3","spark.GenericIntegrationTest.testXForwardedFor [],spark.staticfiles.DisableMimeGuessingTest.testCustomMimeType [],spark.staticfiles.StaticFilesTest.testStaticFilePageHtml []"
"spark","6","spark.staticfiles.StaticFilesConfiguration.configureExternal(String)","2","spark.GenericIntegrationTest.testUnauthorized [],spark.GenericIntegrationTest.routes_should_be_accept_type_aware []"
"spark","7","spark.route.RouteEntry.matches(HttpMethod,String)","2","spark.servlet.ServletTest.testNotFound [],spark.BooksIntegrationTest.canGetBook []"
"spark","8","spark.embeddedserver.jetty.websocket.WebSocketServletContextHandlerFactory.create(Map<String,WebSocketHandlerWrapper>,Optional<Integer>)","2","spark.GenericIntegrationTest.testXForwardedFor [],spark.GenericIntegrationTest.testExternalStaticFile []"
"spark","9","spark.utils.MimeParse.parseMimeType(String)","2","spark.staticfiles.StaticFilesTest.testExceptionMapping404 [],spark.GenericIntegrationTest.testSessionReset []"
"spark","10","spark.staticfiles.StaticFilesFolder.externalConfiguredTo(String)","2","spark.servlet.ServletTest.testStaticWelcomeResource [],spark.StaticFilesMemberTest.testStaticFilePagesIndexHtml []"
"spark","11","spark.Service.initializeRouteMatcher()","2","spark.GenericIntegrationTest.testPostViaGetWithMethodOverrideHeader [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithFirst []"
"spark","12","spark.Service.addRoute(HttpMethod,RouteImpl)","2","spark.RedirectTest.testRedirectAnyGet [],spark.CookiesIntegrationTest.testCreateCookie []"
"spark","13","spark.staticfiles.StaticFilesConfiguration.configure(String)","1","spark.GenericIntegrationTest.testEchoParam3 []"
"spark","14","spark.resource.AbstractFileResolvingResource.getFile()","1","spark.servlet.ServletTest.testExternalStaticFile []"
"spark","15","spark.embeddedserver.jetty.SocketConnectorFactory.createSecureSocketConnector(Server,String,int,SslStores)","1","spark.GenericSecureIntegrationTest.testGetHi []"
"spark","16","spark.serialization.DefaultSerializer.canProcess(Object)","1","spark.GenericIntegrationTest.testEchoParamWithMaj []"
"spark","17","spark.http.matching.AfterAfterFilters.execute(RouteContext)","1","spark.GenericIntegrationTest.testInheritanceExceptionMapper []"
"spark","18","spark.resource.ExternalResourceHandler.getResource(String)","1","spark.servlet.ServletTest.testGetHiAfterFilter []"
"spark","19","spark.Routable.get(String,String,Route)","1","spark.GenericIntegrationTest.testWebSocketConversation []"
"spark","20","spark.route.Routes.add(HttpMethod,String,String,Object)","1","spark.CookiesIntegrationTest.testRemoveCookieWithPath []"
"spark","21","spark.Routable.before(String,Filter)","1","spark.GenericIntegrationTest.testTypedExceptionMapper []"
"spark","22","spark.route.Routes.findMultiple(HttpMethod,String,String)","1","spark.GenericIntegrationTest.paths_should_be_very_nestable []"
"spark","23","spark.Service.addFilter(HttpMethod,FilterImpl)","1","spark.GenericSecureIntegrationTest.testGetRoot []"
"spark","24","spark.serialization.DefaultSerializer.process(OutputStream,Object)","1","spark.BooksIntegrationTest.canUpdateBook []"
"spark","25","spark.CustomErrorPages.getInstance()","1","spark.GenericSecureIntegrationTest.testNotFound []"
